video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7.390903715923906e+18,2024-07-12T19:01:16,15.0,US,686700.0,5653.0,1643.0,26400000.0,NOOO PLZ IM A STARTRRR #artisticswimming #hair #knox #gelatina #myhairitdontmove #knoxremoval #knoxgelatine #gel #gelatina ,False,,annadramirez,Daniella Ramirez,,,,,,True,,,
7.36192996544668e+18,2024-04-25T17:08:36,109.0,US,64600.0,355.0,719.0,2100000.0,Terrible shoulder blade and neck pain! #chiropractic #chiropractor #adjustment #fyp ,False,,dr.prestonmullens,Dr. Preston Mullens,,,,,,False,Pittsburgh,Pennsylvania, United States
7.362725752376184e+18,2024-04-27T20:36:36,33.0,US,731500.0,34900.0,3356.0,6500000.0,SHAKE THAT BOOTY,False,,.gina.lynn,Gina,,,,,,False,,,
7.368058119445925e+18,2024-05-12T05:29:42,61.0,US,273800.0,4086.0,1080.0,27500000.0,,False,,worker007,ShareNewthingsForU,,,,,,False,,,
7.366328366422674e+18,2024-05-07T13:36:37,47.0,US,8100000.0,350800.0,26200.0,51200000.0,#Foxwoods #SugarFactory #17thBirthday ,False,,thedawsonmommy,Christina,,,,,,False,,,
7.370065121835634e+18,2024-05-17T15:16:59,6.0,US,3900000.0,436100.0,14700.0,18900000.0,Shes okay tho,False,,bitecoochie,Autumn White,,,,,,False,,,
7.363713459978096e+18,2024-04-30T12:29:25,123.0,US,1700000.0,28400.0,7560.0,31900000.0,Just wait for The Revenge of The Gangster 🔥 || #edit #movieclip #thegangsterthecopthedevil #gangsteredit #donlee #foryou #goviral #plzunfreezmyaccount,False,,bumblebee_ummi,Ummi_Films,,,,,,False,,,
7.363048718041468e+18,2024-04-28T17:30:02,79.0,US,32400.0,677.0,125.0,4300000.0,@Peraltabraili #peraltabraili ,False,,teamminue2,Minué,,,,,,False,,,
7.369970620366343e+18,2024-05-17T09:10:20,85.0,US,300700.0,20600.0,3328.0,7800000.0,Dr now is savage #doctor #hospital #dr #drnow #drnowzardan #tlc #weightloss #fyp ,False,,dr..now53,Dr. now,,,,,,False,,,
7.365967084926406e+18,2024-05-06T14:14:33,60.0,US,4459.0,218.0,151.0,1200000.0,Society failed to teached us about the dangers of not checking hotels #hotel #travel #traveltok #travellife #safety ,False,,mindblowingreels,Mind Blowing Reels,,,,,,False,,,
